;Akeywords_lemma;Akeywords_pos
60011576;[('disease', 1041), ('cell', 866), ('analysis', 859), ('model', 627), ('cancer', 622), ('system', 595), ('activity', 562), ('acid', 520), ('stress', 490), ('syndrome', 458), ('complex', 419), ('oil', 418), ('surgery', 384), ('method', 383), ('drug', 379), ('inflammation', 361), ('oxide', 356), ('disorder', 349), ('oxidative', 344), ('test', 344), ('structure', 338), ('magnetism', 338), ('factor', 334), ('protein', 332), ('water', 331), ('therapy', 330), ('thyroid', 329), ('image', 327), ('risk', 320), ('solution', 305)];[(('analysis', 'NN'), 830), (('disease', 'NN'), 699), (('cancer', 'NN'), 568), (('activity', 'NN'), 534), (('stress', 'NN'), 465), (('cells', 'NNS'), 405), (('cell', 'NN'), 368), (('system', 'NN'), 368), (('inflammation', 'NN'), 350), (('oxidative', 'JJ'), 343), (('magnetic', 'JJ'), 336), (('model', 'NN'), 328), (('oil', 'NN'), 323), (('therapy', 'NN'), 304), (('risk', 'NN'), 300), (('surgery', 'NN'), 294), (('drug', 'NN'), 269), (('food', 'NN'), 264), (('complexes', 'NNS'), 261), (('parameters', 'NNS'), 259), (('chronic', 'JJ'), 258), (('acid', 'NN'), 255), (('syndrome', 'NN'), 250), (('growth', 'NN'), 248), (('injury', 'NN'), 242), (('brain', 'NN'), 242), (('gas', 'NN'), 235), (('treatment', 'NN'), 234), (('water', 'NN'), 230), (('energy', 'NN'), 228)]
60012162;[('model', 2994), ('analysis', 2062), ('system', 2010), ('energy', 1426), ('network', 1385), ('method', 1281), ('control', 955), ('design', 946), ('dynamic', 912), ('structure', 832), ('test', 768), ('theory', 766), ('process', 738), ('equation', 709), ('cell', 664), ('thermal', 661), ('power', 661), ('material', 660), ('surface', 650), ('simulation', 645), ('property', 616), ('element', 614), ('nonlinear', 603), ('composite', 581), ('heat', 575), ('optimization', 567), ('space', 544), ('finite', 536), ('magnetism', 526), ('flow', 510)];[(('analysis', 'NN'), 1964), (('energy', 'NN'), 1416), (('systems', 'NNS'), 1193), (('model', 'NN'), 1130), (('design', 'NN'), 895), (('control', 'NN'), 865), (('system', 'NN'), 817), (('method', 'NN'), 746), (('networks', 'NNS'), 706), (('models', 'NNS'), 641), (('power', 'NN'), 639), (('network', 'NN'), 615), (('thermal', 'JJ'), 587), (('properties', 'NNS'), 578), (('dynamics', 'NNS'), 560), (('optimization', 'NN'), 535), (('magnetic', 'JJ'), 523), (('simulation', 'NN'), 512), (('theory', 'NN'), 506), (('management', 'NN'), 505), (('modeling', 'VBG'), 500), (('finite', 'JJ'), 489), (('data', 'NNS'), 482), (('materials', 'NNS'), 469), (('surface', 'NN'), 453), (('nonlinear', 'JJ'), 445), (('optical', 'JJ'), 415), (('methods', 'NNS'), 412), (('numerical', 'JJ'), 393), (('mechanical', 'JJ'), 393)]
60012227;[('galaxy', 2390), ('theory', 1284), ('cosmology', 627), ('model', 597), ('general', 553), ('method', 514), ('field', 467), ('star', 419), ('quantum', 375), ('structure', 366), ('cluster', 339), ('dynamic', 338), ('system', 320), ('matter', 320), ('dark', 309), ('evolution', 297), ('equation', 294), ('physic', 289), ('radiation', 286), ('cosmos', 268), ('xrays', 264), ('active', 250), ('background', 236), ('individual', 228), ('function', 220), ('ism', 220), ('universe', 212), ('problem', 211), ('observation', 207), ('string', 203)];[(('galaxies', 'NNS'), 2130), (('theory', 'NN'), 747), (('general', 'JJ'), 540), (('cosmology', 'NN'), 415), (('field', 'NN'), 410), (('methods', 'NNS'), 403), (('theories', 'NNS'), 373), (('stars', 'NNS'), 322), (('matter', 'NN'), 313), (('structure', 'NN'), 306), (('dynamics', 'NNS'), 294), (('physics', 'NNS'), 289), (('models', 'NNS'), 286), (('radiation', 'NN'), 273), (('dark', 'JJ'), 259), (('active', 'JJ'), 249), (('evolution', 'NN'), 244), (('model', 'NN'), 237), (('cosmic', 'JJ'), 234), (('systems', 'NNS'), 231), (('clusters', 'NNS'), 231), (('individual', 'JJ'), 218), (('background', 'NN'), 210), (('ism', 'NN'), 205), (('observations', 'NNS'), 205), (('analysis', 'NN'), 199), (('black', 'JJ'), 194), (('equations', 'NNS'), 161), (('theory', 'JJ'), 156), (('accretion', 'NN'), 154)]
60012259;[('cell', 2696), ('cancer', 2683), ('disease', 1990), ('model', 1866), ('analysis', 1744), ('system', 1275), ('factor', 1031), ('surgery', 1022), ('therapy', 978), ('acid', 964), ('syndrome', 892), ('theory', 829), ('lung', 813), ('risk', 810), ('disorder', 810), ('structure', 798), ('galaxy', 779), ('italy', 766), ('kidney', 758), ('growth', 757), ('gene', 742), ('social', 733), ('receptor', 732), ('treatment', 714), ('method', 710), ('health', 703), ('carcinoma', 696), ('human', 687), ('quality', 685), ('process', 685)];[(('cancer', 'NN'), 2606), (('analysis', 'NN'), 1665), (('cell', 'NN'), 1313), (('disease', 'NN'), 1270), (('cells', 'NNS'), 1037), (('therapy', 'NN'), 901), (('model', 'NN'), 851), (('surgery', 'NN'), 761), (('growth', 'NN'), 757), (('social', 'JJ'), 729), (('risk', 'NN'), 727), (('health', 'NN'), 703), (('system', 'NN'), 669), (('treatment', 'NN'), 662), (('galaxies', 'NNS'), 649), (('human', 'JJ'), 643), (('carcinoma', 'NN'), 638), (('systems', 'NNS'), 606), (('gene', 'NN'), 596), (('quality', 'NN'), 593), (('physics', 'NNS'), 578), (('breast', 'NN'), 575), (('management', 'NN'), 569), (('lung', 'NN'), 553), (('theory', 'NN'), 547), (('data', 'NNS'), 536), (('models', 'NNS'), 527), (('acid', 'NN'), 526), (('structure', 'NN'), 525), (('factors', 'NNS'), 522)]
60012280;[('religious', 16), ('psychology', 13), ('catholic', 12), ('psychological', 10), ('religion', 9), ('priest', 9), ('education', 8), ('purpose', 7), ('life', 7), ('italy', 7), ('burnout', 6), ('sister', 6), ('spiritual', 6), ('school', 6), ('social', 5), ('clergy', 5), ('wellbeing', 5), ('homicide', 5), ('attitude', 5), ('type', 5), ('orientation', 4), ('christianity', 4), ('church', 4), ('balance', 4), ('affect', 4), ('emotional', 4), ('covid', 4), ('satisfaction', 4), ('validity', 4), ('set', 3)];[(('religious', 'JJ'), 16), (('psychology', 'NN'), 13), (('catholic', 'JJ'), 11), (('psychological', 'JJ'), 10), (('religion', 'NN'), 9), (('education', 'NN'), 8), (('priests', 'NNS'), 8), (('purpose', 'JJ'), 7), (('life', 'NN'), 7), (('sisters', 'NNS'), 6), (('spiritual', 'JJ'), 6), (('social', 'JJ'), 5), (('burnout', 'IN'), 5), (('type', 'NN'), 5), (('orientation', 'NN'), 4), (('christianity', 'NN'), 4), (('wellbeing', 'VBG'), 4), (('church', 'NN'), 4), (('balanced', 'VBN'), 4), (('affect', 'JJ'), 4), (('emotional', 'JJ'), 4), (('validity', 'NN'), 4), (('setting', 'VBG'), 3), (('time', 'NN'), 3), (('intercultural', 'JJ'), 3), (('death', 'NN'), 3), (('autopsy', 'NN'), 3), (('homicide', 'NN'), 3), (('triad', 'JJ'), 3), (('clergy', 'JJ'), 3)]
60012306;[('model', 1419), ('galaxy', 1092), ('cell', 1066), ('analysis', 1013), ('disease', 986), ('cancer', 916), ('physic', 819), ('system', 808), ('theory', 751), ('scatter', 663), ('risk', 636), ('pressure', 625), ('social', 611), ('hadronhadron', 558), ('blood', 556), ('heart', 531), ('hypertension', 517), ('method', 517), ('detector', 509), ('experiment', 493), ('image', 464), ('disorder', 463), ('health', 441), ('space', 430), ('syndrome', 420), ('covid', 418), ('factor', 415), ('function', 415), ('data', 412), ('process', 410)];[(('galaxies', 'NNS'), 1038), (('analysis', 'NN'), 976), (('cancer', 'NN'), 885), (('physics', 'NNS'), 818), (('scattering', 'VBG'), 634), (('disease', 'NN'), 623), (('pressure', 'NN'), 620), (('model', 'NN'), 614), (('social', 'JJ'), 608), (('risk', 'NN'), 583), (('blood', 'NN'), 547), (('hypertension', 'NN'), 495), (('theory', 'NN'), 495), (('models', 'NNS'), 468), (('cells', 'NNS'), 458), (('cell', 'NN'), 444), (('health', 'NN'), 441), (('system', 'NN'), 417), (('hadronhadron', 'NN'), 397), (('experiments', 'NNS'), 396), (('data', 'NNS'), 395), (('systems', 'NNS'), 391), (('general', 'JJ'), 377), (('methods', 'NNS'), 360), (('detectors', 'NNS'), 358), (('therapy', 'NN'), 354), (('treatment', 'NN'), 321), (('heart', 'NN'), 317), (('dynamics', 'NNS'), 294), (('molecular', 'JJ'), 293)]
60012630;[('galaxy', 1296), ('model', 1108), ('analysis', 693), ('system', 592), ('structure', 502), ('method', 411), ('xrays', 408), ('italy', 379), ('scatter', 359), ('network', 352), ('active', 333), ('data', 312), ('energy', 298), ('theory', 291), ('dynamic', 287), ('spectroscopy', 281), ('individual', 278), ('equation', 269), ('cell', 267), ('experiment', 267), ('city', 257), ('hadronhadron', 251), ('specie', 243), ('process', 226), ('physic', 223), ('space', 214), ('surface', 213), ('wave', 213), ('human', 211), ('function', 209)];[(('galaxies', 'NNS'), 1259), (('analysis', 'NN'), 650), (('model', 'NN'), 492), (('systems', 'NNS'), 376), (('scattering', 'VBG'), 345), (('active', 'JJ'), 333), (('data', 'NNS'), 308), (('structure', 'NN'), 302), (('energy', 'NN'), 296), (('models', 'NNS'), 270), (('individual', 'JJ'), 245), (('species', 'NNS'), 242), (('hadronhadron', 'NN'), 230), (('methods', 'NNS'), 228), (('physics', 'NNS'), 223), (('system', 'NN'), 216), (('spectroscopy', 'NN'), 210), (('human', 'JJ'), 203), (('social', 'JJ'), 197), (('theory', 'NN'), 191), (('experiments', 'NNS'), 191), (('management', 'NN'), 190), (('urban', 'JJ'), 186), (('seyfert', 'VBP'), 184), (('dynamics', 'NNS'), 180), (('central', 'JJ'), 178), (('general', 'JJ'), 176), (('networks', 'NNS'), 171), (('optical', 'JJ'), 170), (('italy', 'NN'), 169)]
60013494;[('model', 554), ('analysis', 523), ('water', 266), ('network', 265), ('risk', 256), ('system', 248), ('climate', 233), ('lagoon', 219), ('venice', 213), ('complex', 210), ('change', 202), ('environment', 199), ('social', 194), ('acid', 194), ('management', 182), ('data', 174), ('structure', 170), ('spectroscopy', 168), ('sustainability', 166), ('process', 164), ('catalyst', 163), ('policy', 159), ('method', 156), ('metal', 156), ('sea', 150), ('assessment', 150), ('nanoparticles', 138), ('palladium', 134), ('dynamic', 133), ('city', 131)];[(('analysis', 'NN'), 499), (('model', 'NN'), 244), (('risk', 'NN'), 231), (('water', 'NN'), 228), (('climate', 'NN'), 203), (('social', 'JJ'), 191), (('change', 'NN'), 188), (('models', 'NNS'), 184), (('management', 'NN'), 180), (('complexes', 'NNS'), 177), (('lagoon', 'NN'), 175), (('venice', 'NN'), 167), (('data', 'NNS'), 164), (('networks', 'NNS'), 156), (('sea', 'NN'), 139), (('systems', 'NNS'), 137), (('environmental', 'JJ'), 136), (('policy', 'NN'), 132), (('nanoparticles', 'NNS'), 130), (('assessment', 'NN'), 117), (('palladium', 'NN'), 113), (('spectroscopy', 'NN'), 112), (('system', 'NN'), 111), (('energy', 'NN'), 111), (('carbon', 'NN'), 111), (('food', 'NN'), 111), (('decision', 'NN'), 110), (('theory', 'NN'), 107), (('health', 'NN'), 104), (('organic', 'JJ'), 103)]
60014096;[('analysis', 327), ('model', 256), ('forest', 238), ('italy', 194), ('acid', 170), ('oil', 160), ('olive', 157), ('cell', 155), ('activity', 152), ('specie', 148), ('disease', 148), ('quality', 148), ('system', 147), ('stress', 127), ('cancer', 127), ('plant', 127), ('water', 124), ('change', 120), ('management', 119), ('food', 115), ('method', 108), ('image', 107), ('energy', 98), ('mediterranean', 98), ('structure', 93), ('growth', 92), ('study', 90), ('milk', 88), ('assessment', 87), ('factor', 87)];[(('analysis', 'NN'), 308), (('oil', 'NN'), 150), (('species', 'NNS'), 144), (('activity', 'NN'), 143), (('quality', 'NN'), 141), (('forest', 'JJS'), 141), (('olive', 'JJ'), 140), (('model', 'NN'), 129), (('stress', 'NN'), 118), (('cancer', 'NN'), 118), (('management', 'NN'), 118), (('food', 'NN'), 111), (('water', 'NN'), 109), (('plant', 'NN'), 100), (('energy', 'NN'), 98), (('system', 'NN'), 92), (('growth', 'NN'), 91), (('disease', 'NN'), 90), (('change', 'NN'), 89), (('italy', 'NN'), 86), (('acid', 'NN'), 83), (('health', 'NN'), 80), (('vegetation', 'NN'), 76), (('soil', 'NN'), 74), (('italy', 'JJ'), 71), (('cell', 'NN'), 71), (('distribution', 'NN'), 71), (('data', 'NNS'), 69), (('imaging', 'VBG'), 68), (('assessment', 'NN'), 67)]
60015197;[('cell', 1732), ('model', 1716), ('analysis', 1408), ('disease', 1366), ('system', 1197), ('syndrome', 853), ('scatter', 800), ('method', 705), ('control', 684), ('structure', 657), ('protein', 628), ('hadronhadron', 627), ('cancer', 591), ('therapy', 589), ('heart', 585), ('drug', 577), ('acid', 574), ('experiment', 559), ('risk', 546), ('physic', 528), ('equation', 513), ('factor', 508), ('disorder', 503), ('human', 484), ('element', 481), ('test', 463), ('process', 458), ('lung', 458), ('image', 456), ('child', 432)];[(('analysis', 'NN'), 1345), (('disease', 'NN'), 836), (('scattering', 'VBG'), 779), (('model', 'NN'), 774), (('cell', 'NN'), 770), (('cells', 'NNS'), 734), (('system', 'NN'), 609), (('systems', 'NNS'), 588), (('control', 'NN'), 586), (('hadronhadron', 'NN'), 577), (('therapy', 'NN'), 542), (('cancer', 'NN'), 538), (('physics', 'NNS'), 527), (('risk', 'NN'), 496), (('models', 'NNS'), 476), (('human', 'JJ'), 451), (('experiments', 'NNS'), 441), (('syndrome', 'NN'), 426), (('methods', 'NNS'), 411), (('drug', 'NN'), 399), (('activity', 'NN'), 390), (('optical', 'JJ'), 386), (('protein', 'NN'), 382), (('structure', 'NN'), 382), (('growth', 'NN'), 380), (('treatment', 'NN'), 373), (('children', 'NNS'), 354), (('water', 'NN'), 340), (('magnetic', 'JJ'), 338), (('chronic', 'JJ'), 337)]
60015300;[('disease', 993), ('cell', 928), ('cancer', 836), ('model', 743), ('heart', 714), ('analysis', 631), ('system', 590), ('failure', 521), ('syndrome', 469), ('surgery', 404), ('therapy', 394), ('sensor', 392), ('factor', 368), ('treatment', 355), ('risk', 346), ('control', 341), ('carcinoma', 340), ('test', 329), ('kidney', 328), ('receptor', 310), ('covid', 299), ('image', 279), ('health', 278), ('artery', 267), ('method', 263), ('disorder', 259), ('growth', 258), ('protein', 254), ('quality', 252), ('acute', 251)];[(('cancer', 'NN'), 813), (('analysis', 'NN'), 598), (('disease', 'NN'), 581), (('heart', 'NN'), 570), (('failure', 'NN'), 521), (('cell', 'NN'), 438), (('cells', 'NNS'), 392), (('therapy', 'NN'), 367), (('system', 'NN'), 359), (('treatment', 'NN'), 330), (('model', 'NN'), 323), (('surgery', 'NN'), 319), (('carcinoma', 'NN'), 319), (('risk', 'NN'), 316), (('control', 'NN'), 301), (('health', 'NN'), 278), (('growth', 'NN'), 258), (('management', 'NN'), 241), (('systems', 'NNS'), 231), (('quality', 'NN'), 225), (('chronic', 'JJ'), 225), (('energy', 'NN'), 221), (('disease', 'VBP'), 221), (('hypertension', 'NN'), 219), (('acute', 'JJ'), 217), (('gas', 'NN'), 210), (('syndrome', 'JJ'), 208), (('pressure', 'NN'), 206), (('blood', 'NN'), 203), (('syndrome', 'NN'), 202)]
60015466;[('analysis', 159), ('city', 157), ('model', 131), ('build', 89), ('energy', 88), ('design', 67), ('plan', 67), ('structure', 65), ('masonry', 64), ('space', 55), ('dynamic', 44), ('transport', 43), ('sustainability', 43), ('test', 42), ('heritage', 41), ('management', 41), ('system', 40), ('climate', 38), ('element', 38), ('culture', 36), ('policy', 36), ('assessment', 35), ('seismic', 35), ('environment', 34), ('history', 33), ('change', 33), ('marble', 33), ('social', 32), ('glass', 31), ('public', 30)];[(('analysis', 'NN'), 145), (('urban', 'JJ'), 115), (('energy', 'NN'), 86), (('design', 'NN'), 66), (('masonry', 'NN'), 57), (('model', 'NN'), 56), (('heritage', 'NN'), 41), (('management', 'NN'), 41), (('transport', 'NN'), 38), (('dynamic', 'JJ'), 35), (('models', 'NNS'), 34), (('climate', 'NN'), 34), (('seismic', 'JJ'), 34), (('spatial', 'JJ'), 33), (('cultural', 'JJ'), 32), (('planning', 'NN'), 32), (('city', 'NN'), 32), (('change', 'NN'), 31), (('building', 'VBG'), 31), (('public', 'JJ'), 30), (('social', 'JJ'), 30), (('conservation', 'NN'), 28), (('buildings', 'NNS'), 28), (('structural', 'JJ'), 27), (('local', 'JJ'), 26), (('interaction', 'NN'), 26), (('glass', 'NN'), 26), (('planning', 'VBG'), 25), (('heat', 'NN'), 24), (('building', 'NN'), 24)]
60015986;[('model', 1411), ('analysis', 1062), ('system', 815), ('network', 711), ('method', 680), ('image', 617), ('space', 615), ('scatter', 589), ('learn', 572), ('process', 549), ('social', 539), ('experiment', 479), ('theory', 450), ('curve', 435), ('energy', 433), ('structure', 430), ('hadronhadron', 427), ('control', 403), ('physic', 402), ('property', 396), ('equation', 395), ('data', 383), ('dynamic', 375), ('function', 372), ('detector', 355), ('finite', 354), ('sense', 345), ('material', 340), ('test', 331), ('surface', 310)];[(('analysis', 'NN'), 1002), (('model', 'NN'), 611), (('scattering', 'VBG'), 577), (('social', 'JJ'), 537), (('systems', 'NNS'), 501), (('energy', 'NN'), 428), (('physics', 'NNS'), 401), (('hadronhadron', 'NN'), 396), (('methods', 'NNS'), 376), (('control', 'NN'), 374), (('learning', 'VBG'), 367), (('data', 'NNS'), 366), (('properties', 'NNS'), 365), (('network', 'NN'), 342), (('networks', 'NNS'), 340), (('experiments', 'NNS'), 335), (('theory', 'NN'), 330), (('models', 'NNS'), 316), (('system', 'NN'), 314), (('sensing', 'VBG'), 288), (('finite', 'JJ'), 283), (('detection', 'NN'), 281), (('vector', 'NN'), 281), (('space', 'NN'), 272), (('image', 'NN'), 272), (('equations', 'NNS'), 272), (('method', 'NN'), 268), (('curve', 'NN'), 267), (('detectors', 'NNS'), 259), (('visual', 'JJ'), 255)]
60016269;[('italian', 8), ('language', 6), ('right', 6), ('history', 4), ('translation', 4), ('write', 3), ('literature', 3), ('century', 3), ('education', 3), ('translanguaging', 3), ('question', 3), ('european', 3), ('subject', 3), ('court', 3), ('human', 3), ('tuscany', 2), ('city', 2), ('word', 2), ('study', 2), ('social', 2), ('th', 2), ('minority', 2), ('age', 2), ('multilingual', 2), ('dub', 2), ('pragmatic', 2), ('noun', 2), ('dialect', 2), ('greek', 2), ('verb', 2)];[(('italian', 'JJ'), 8), (('rights', 'NNS'), 4), (('translation', 'NN'), 3), (('century', 'NN'), 3), (('education', 'NN'), 3), (('translanguaging', 'VBG'), 3), (('questions', 'NNS'), 3), (('subject', 'JJ'), 3), (('court', 'NN'), 3), (('human', 'JJ'), 3), (('historical', 'JJ'), 2), (('writing', 'VBG'), 2), (('language', 'NN'), 2), (('tuscany', 'NN'), 2), (('lexical', 'JJ'), 2), (('studies', 'NNS'), 2), (('social', 'JJ'), 2), (('th', 'JJ'), 2), (('history', 'NN'), 2), (('multilingual', 'JJ'), 2), (('dubbing', 'VBG'), 2), (('pragmatic', 'JJ'), 2), (('greek', 'JJ'), 2), (('languages', 'NNS'), 2), (('semantics', 'NNS'), 2), (('pedagogy', 'NN'), 2), (('schools', 'NNS'), 2), (('cinema', 'NN'), 2), (('chinese', 'JJ'), 2), (('european', 'JJ'), 2)]
60016374;[('model', 135), ('social', 129), ('policy', 115), ('finance', 114), ('management', 109), ('market', 107), ('innovation', 97), ('theory', 86), ('organization', 82), ('network', 79), ('european', 79), ('control', 77), ('economy', 76), ('system', 74), ('sustainability', 69), ('public', 68), ('optimal', 68), ('party', 65), ('analysis', 65), ('dynamic', 65), ('risk', 65), ('political', 63), ('strategy', 62), ('game', 62), ('money', 61), ('performance', 61), ('corporation', 61), ('information', 60), ('value', 59), ('governance', 59)];[(('social', 'JJ'), 128), (('policy', 'NN'), 101), (('management', 'NN'), 96), (('innovation', 'NN'), 91), (('european', 'JJ'), 79), (('control', 'NN'), 67), (('analysis', 'NN'), 65), (('theory', 'NN'), 64), (('political', 'JJ'), 63), (('financial', 'JJ'), 63), (('risk', 'NN'), 61), (('optimal', 'JJ'), 61), (('performance', 'NN'), 60), (('model', 'NN'), 59), (('public', 'JJ'), 59), (('information', 'NN'), 59), (('data', 'NNS'), 57), (('governance', 'NN'), 57), (('corporate', 'JJ'), 57), (('models', 'NNS'), 56), (('market', 'NN'), 55), (('growth', 'NN'), 54), (('monetary', 'JJ'), 52), (('value', 'NN'), 48), (('international', 'JJ'), 48), (('economic', 'JJ'), 48), (('capital', 'NN'), 46), (('law', 'NN'), 46), (('business', 'NN'), 45), (('organizational', 'JJ'), 45)]
60017293;[('model', 3407), ('analysis', 3393), ('disease', 2609), ('cell', 2591), ('system', 2527), ('cancer', 2131), ('acid', 1797), ('structure', 1550), ('protein', 1513), ('test', 1302), ('method', 1264), ('activity', 1214), ('energy', 1172), ('factor', 1148), ('control', 1144), ('dynamic', 1141), ('network', 1075), ('image', 1075), ('surgery', 1059), ('heart', 1019), ('syndrome', 1017), ('risk', 1008), ('water', 976), ('receptor', 947), ('process', 938), ('stress', 912), ('gene', 901), ('experiment', 896), ('therapy', 893), ('molecule', 871)];[(('analysis', 'NN'), 3216), (('cancer', 'NN'), 1950), (('disease', 'NN'), 1898), (('model', 'NN'), 1456), (('systems', 'NNS'), 1275), (('system', 'NN'), 1252), (('cell', 'NN'), 1223), (('energy', 'NN'), 1156), (('activity', 'NN'), 1147), (('cells', 'NNS'), 1052), (('control', 'NN'), 1004), (('acid', 'NN'), 945), (('risk', 'NN'), 922), (('protein', 'NN'), 848), (('stress', 'NN'), 826), (('therapy', 'NN'), 823), (('surgery', 'NN'), 821), (('data', 'NNS'), 803), (('water', 'NN'), 772), (('design', 'NN'), 751), (('scattering', 'VBG'), 751), (('gene', 'NN'), 750), (('magnetic', 'JJ'), 732), (('growth', 'NN'), 724), (('molecular', 'JJ'), 707), (('models', 'NNS'), 703), (('structure', 'NN'), 697), (('quality', 'NN'), 693), (('physics', 'NNS'), 689), (('factor', 'NN'), 688)]
60017697;[('analysis', 1442), ('model', 1375), ('disease', 1232), ('cancer', 1165), ('system', 1133), ('cell', 1103), ('star', 863), ('activity', 709), ('acid', 695), ('water', 658), ('energy', 641), ('mediterranean', 635), ('method', 563), ('dynamic', 552), ('factor', 534), ('soil', 524), ('sicily', 508), ('risk', 494), ('structure', 487), ('process', 486), ('stress', 485), ('syndrome', 474), ('xrays', 464), ('image', 460), ('network', 446), ('control', 442), ('quality', 431), ('treatment', 425), ('test', 420), ('sea', 410)];[(('analysis', 'NN'), 1371), (('cancer', 'NN'), 1047), (('disease', 'NN'), 826), (('stars', 'NNS'), 719), (('activity', 'NN'), 681), (('model', 'NN'), 635), (('energy', 'NN'), 632), (('system', 'NN'), 588), (('systems', 'NNS'), 545), (('water', 'NN'), 508), (('sicily', 'RB'), 494), (('cells', 'NNS'), 478), (('cell', 'NN'), 463), (('risk', 'NN'), 458), (('stress', 'NN'), 420), (('soil', 'NN'), 412), (('acid', 'NN'), 401), (('sea', 'NN'), 396), (('quality', 'NN'), 394), (('treatment', 'NN'), 391), (('control', 'NN'), 383), (('management', 'NN'), 373), (('dynamics', 'NNS'), 368), (('mediterranean', 'JJ'), 365), (('chronic', 'JJ'), 357), (('therapy', 'NN'), 356), (('magnetic', 'JJ'), 354), (('growth', 'NN'), 345), (('power', 'NN'), 334), (('method', 'NN'), 323)]
60018048;[('exercise', 168), ('physical', 165), ('sport', 157), ('muscle', 151), ('train', 130), ('analysis', 121), ('activity', 114), ('motor', 98), ('performance', 89), ('athlete', 79), ('heart', 72), ('health', 64), ('control', 63), ('rate', 61), ('movement', 57), ('age', 57), ('gait', 57), ('human', 56), ('cell', 54), ('cognition', 49), ('knee', 49), ('body', 48), ('strength', 47), ('ligament', 43), ('disease', 42), ('system', 42), ('fatigue', 42), ('sensor', 42), ('cortex', 42), ('functional', 41)];[(('physical', 'JJ'), 164), (('exercise', 'NN'), 157), (('analysis', 'NN'), 121), (('muscle', 'NN'), 110), (('activity', 'NN'), 106), (('motor', 'NN'), 93), (('performance', 'NN'), 88), (('training', 'NN'), 86), (('sport', 'NN'), 82), (('athletes', 'NNS'), 65), (('health', 'NN'), 64), (('sports', 'NNS'), 63), (('rate', 'NN'), 61), (('control', 'NN'), 59), (('human', 'JJ'), 55), (('heart', 'NN'), 51), (('movement', 'NN'), 47), (('strength', 'NN'), 47), (('body', 'NN'), 45), (('cells', 'NNS'), 42), (('functional', 'JJ'), 41), (('training', 'VBG'), 41), (('gait', 'NN'), 39), (('knee', 'NN'), 38), (('function', 'NN'), 36), (('fitness', 'NN'), 35), (('aging', 'VBG'), 35), (('ligament', 'NN'), 35), (('education', 'NN'), 34), (('visual', 'JJ'), 33)]
60018363;[('galaxy', 1857), ('model', 1049), ('structure', 767), ('analysis', 734), ('system', 702), ('cell', 696), ('method', 609), ('cancer', 564), ('cluster', 564), ('general', 557), ('disease', 556), ('physic', 478), ('scatter', 445), ('cosmology', 430), ('experiment', 411), ('image', 394), ('complex', 382), ('heart', 382), ('evolution', 373), ('dynamic', 371), ('theory', 370), ('hadronhadron', 359), ('molecule', 357), ('star', 339), ('activity', 336), ('water', 332), ('detector', 318), ('radiation', 311), ('ray', 309), ('spectroscopy', 307)];[(('galaxies', 'NNS'), 1465), (('analysis', 'NN'), 700), (('general', 'JJ'), 547), (('structure', 'NN'), 507), (('cancer', 'NN'), 490), (('physics', 'NNS'), 477), (('clusters', 'NNS'), 442), (('methods', 'NNS'), 430), (('scattering', 'VBG'), 427), (('model', 'NN'), 420), (('systems', 'NNS'), 413), (('disease', 'NN'), 380), (('cell', 'NN'), 343), (('hadronhadron', 'NN'), 331), (('activity', 'NN'), 325), (('molecular', 'JJ'), 314), (('evolution', 'NN'), 295), (('radiation', 'NN'), 292), (('system', 'NN'), 289), (('experiments', 'NNS'), 287), (('numerical', 'JJ'), 286), (('theory', 'NN'), 280), (('cosmology', 'NN'), 280), (('energy', 'NN'), 278), (('stars', 'NNS'), 278), (('cells', 'NNS'), 266), (('dynamics', 'NNS'), 260), (('magnetic', 'JJ'), 252), (('spectroscopy', 'NN'), 242), (('data', 'NNS'), 233)]
60018783;[('model', 1088), ('system', 1001), ('analysis', 842), ('cell', 620), ('disease', 541), ('cancer', 537), ('method', 484), ('dynamic', 404), ('equation', 391), ('network', 388), ('control', 340), ('nonlinear', 334), ('energy', 331), ('process', 328), ('structure', 328), ('theory', 302), ('test', 299), ('disorder', 283), ('space', 278), ('factor', 277), ('magnetism', 265), ('syndrome', 245), ('function', 238), ('image', 238), ('spectroscopy', 231), ('surgery', 231), ('wave', 226), ('therapy', 224), ('stability', 221), ('treatment', 220)];[(('analysis', 'NN'), 803), (('systems', 'NNS'), 642), (('cancer', 'NN'), 521), (('model', 'NN'), 482), (('system', 'NN'), 359), (('energy', 'NN'), 328), (('control', 'NN'), 310), (('disease', 'NN'), 307), (('cells', 'NNS'), 288), (('magnetic', 'JJ'), 259), (('dynamics', 'NNS'), 244), (('models', 'NNS'), 239), (('cell', 'NN'), 234), (('nonlinear', 'JJ'), 232), (('method', 'NN'), 229), (('methods', 'NNS'), 223), (('theory', 'NN'), 218), (('stability', 'NN'), 212), (('therapy', 'NN'), 210), (('human', 'JJ'), 210), (('power', 'NN'), 208), (('treatment', 'NN'), 202), (('stress', 'NN'), 194), (('equations', 'NNS'), 193), (('networks', 'NNS'), 192), (('pain', 'NN'), 188), (('equation', 'NN'), 185), (('time', 'NN'), 185), (('design', 'NN'), 183), (('network', 'NN'), 175)]
