;Ikeywords_lemma;Ikeywords_pos
60015300;[('human', 26720), ('study', 21741), ('age', 16590), ('cell', 14663), ('article', 13602), ('male', 12870), ('female', 12857), ('disease', 11833), ('protein', 10882), ('adult', 10856), ('clinic', 10463), ('control', 8746), ('drug', 8356), ('analysis', 6998), ('middle', 6561), ('priority', 6400), ('journal', 6397), ('factor', 6159), ('cancer', 5699), ('heart', 5681), ('animal', 5259), ('gene', 5194), ('agent', 4973), ('blood', 4954), ('receptor', 4587), ('risk', 4275), ('treatment', 4233), ('major', 4179), ('tumor', 4015), ('virus', 3632)];[(('human', 'JJ'), 16791), (('study', 'NN'), 16174), (('article', 'NN'), 13602), (('cell', 'NN'), 11616), (('adult', 'NN'), 10544), (('clinical', 'JJ'), 10436), (('disease', 'NN'), 9993), (('female', 'JJ'), 9521), (('drug', 'NN'), 8328), (('humans', 'NNS'), 8296), (('protein', 'NN'), 7630), (('aged', 'VBN'), 7390), (('aged', 'VBD'), 7040), (('analysis', 'NN'), 6882), (('male', 'JJ'), 6751), (('priority', 'NN'), 6330), (('journal', 'NN'), 6065), (('male', 'NN'), 5799), (('cancer', 'NN'), 5615), (('heart', 'NN'), 5329), (('gene', 'NN'), 5044), (('controlled', 'VBD'), 5039), (('blood', 'NN'), 4546), (('studies', 'NNS'), 4208), (('treatment', 'NN'), 4190), (('major', 'JJ'), 4179), (('factor', 'NN'), 4117), (('receptor', 'NN'), 3793), (('tumor', 'NN'), 3739), (('risk', 'NN'), 3688)]
60015466;[('analysis', 446), ('structure', 322), ('model', 306), ('build', 239), ('energy', 231), ('italy', 185), ('method', 183), ('environment', 170), ('masonry', 169), ('system', 158), ('city', 146), ('material', 140), ('human', 131), ('plan', 128), ('concrete', 124), ('reinforce', 122), ('design', 120), ('element', 114), ('assessment', 112), ('dynamic', 110), ('management', 102), ('construction', 101), ('space', 101), ('load', 100), ('seismic', 97), ('finite', 96), ('experiment', 93), ('heat', 87), ('test', 87), ('wall', 86)];[(('analysis', 'NN'), 442), (('structural', 'JJ'), 230), (('energy', 'NN'), 227), (('masonry', 'NN'), 141), (('models', 'NNS'), 131), (('urban', 'JJ'), 124), (('italy', 'NN'), 123), (('environmental', 'JJ'), 122), (('method', 'NN'), 118), (('materials', 'NNS'), 117), (('design', 'NN'), 114), (('buildings', 'NNS'), 110), (('model', 'NN'), 104), (('management', 'NN'), 101), (('construction', 'NN'), 99), (('systems', 'NNS'), 97), (('seismic', 'JJ'), 95), (('reinforced', 'VBD'), 91), (('human', 'JJ'), 85), (('development', 'NN'), 84), (('spatial', 'JJ'), 82), (('finite', 'JJ'), 81), (('numerical', 'JJ'), 79), (('response', 'NN'), 79), (('concrete', 'JJ'), 78), (('policy', 'NN'), 76), (('performance', 'NN'), 73), (('dynamic', 'JJ'), 72), (('decision', 'NN'), 71), (('experimental', 'JJ'), 70)]
60015986;[('human', 9210), ('cell', 5874), ('analysis', 5647), ('protein', 5136), ('article', 4907), ('model', 4800), ('adult', 4398), ('study', 4346), ('system', 3961), ('male', 3889), ('image', 3880), ('female', 3805), ('control', 3515), ('animal', 3075), ('method', 2962), ('structure', 2536), ('process', 2486), ('age', 2397), ('brain', 2382), ('gene', 2288), ('energy', 2280), ('material', 2188), ('magnetism', 2138), ('experiment', 2104), ('time', 2006), ('network', 1970), ('spectroscopy', 1877), ('test', 1806), ('resonance', 1802), ('property', 1775)];[(('human', 'JJ'), 5944), (('analysis', 'NN'), 5500), (('article', 'NN'), 4905), (('cell', 'NN'), 4384), (('adult', 'NN'), 4234), (('study', 'NN'), 3402), (('protein', 'NN'), 3288), (('female', 'JJ'), 3135), (('humans', 'NNS'), 2872), (('systems', 'NNS'), 2548), (('brain', 'NN'), 2381), (('male', 'JJ'), 2300), (('gene', 'NN'), 2210), (('energy', 'NN'), 2115), (('magnetic', 'JJ'), 2097), (('model', 'NN'), 2040), (('time', 'NN'), 1938), (('materials', 'NNS'), 1935), (('models', 'NNS'), 1865), (('resonance', 'NN'), 1761), (('controlled', 'VBD'), 1686), (('imaging', 'VBG'), 1676), (('image', 'NN'), 1665), (('computer', 'NN'), 1640), (('priority', 'NN'), 1637), (('drug', 'NN'), 1600), (('visual', 'JJ'), 1598), (('journal', 'NN'), 1571), (('male', 'NN'), 1534), (('methods', 'NNS'), 1489)]
60016269;[('language', 3), ('teach', 2), ('control', 2), ('education', 1), ('immigrant', 1), ('learn', 1), ('bottomup', 1), ('immigration', 1), ('landscape', 1), ('migration', 1), ('topdown', 1), ('city', 1), ('area', 1), ('italy', 1), ('multiculturalism', 1)];[(('language', 'NN'), 3), (('teaching', 'VBG'), 2), (('control', 'NN'), 2), (('education', 'NN'), 1), (('immigrant', 'JJ'), 1), (('learning', 'VBG'), 1), (('bottomup', 'NNS'), 1), (('immigration', 'NN'), 1), (('landscape', 'NN'), 1), (('migration', 'NN'), 1), (('topdown', 'IN'), 1), (('urban', 'JJ'), 1), (('area', 'NN'), 1), (('italy', 'NN'), 1), (('multiculturalism', 'NN'), 1)]
60016374;[('human', 182), ('system', 142), ('analysis', 134), ('control', 115), ('study', 107), ('model', 101), ('italy', 92), ('policy', 91), ('social', 90), ('economy', 82), ('market', 78), ('management', 77), ('adult', 76), ('information', 73), ('article', 72), ('decision', 69), ('behavior', 66), ('theory', 66), ('male', 65), ('process', 64), ('equation', 63), ('industry', 62), ('optimal', 62), ('finance', 60), ('data', 59), ('female', 59), ('stochastic', 59), ('innovation', 58), ('health', 57), ('network', 56)];[(('analysis', 'NN'), 130), (('human', 'JJ'), 121), (('systems', 'NNS'), 91), (('social', 'JJ'), 90), (('policy', 'NN'), 86), (('control', 'NN'), 84), (('study', 'NN'), 83), (('adult', 'NN'), 74), (('article', 'NN'), 72), (('management', 'NN'), 72), (('information', 'NN'), 70), (('italy', 'NN'), 68), (('decision', 'NN'), 64), (('economic', 'JJ'), 63), (('humans', 'NNS'), 59), (('stochastic', 'JJ'), 59), (('market', 'NN'), 58), (('health', 'NN'), 57), (('data', 'NNS'), 56), (('development', 'NN'), 55), (('innovation', 'NN'), 52), (('optimal', 'JJ'), 52), (('system', 'NN'), 51), (('research', 'NN'), 51), (('technology', 'NN'), 48), (('financial', 'JJ'), 47), (('europe', 'NN'), 47), (('female', 'JJ'), 47), (('equations', 'NNS'), 47), (('theory', 'NN'), 46)]
60017293;[('human', 68193), ('study', 55277), ('cell', 50138), ('protein', 49079), ('article', 44363), ('drug', 35990), ('age', 32697), ('male', 32498), ('female', 32478), ('disease', 28429), ('animal', 28242), ('control', 26174), ('adult', 25940), ('analysis', 25579), ('clinic', 24520), ('acid', 19275), ('gene', 18648), ('journal', 18117), ('priority', 18098), ('factor', 17113), ('model', 16032), ('system', 14932), ('blood', 14726), ('agent', 14299), ('middle', 13687), ('cancer', 13144), ('structure', 12837), ('receptor', 12523), ('heart', 12342), ('molecule', 11519)];[(('article', 'NN'), 44361), (('human', 'JJ'), 42541), (('study', 'NN'), 41920), (('cell', 'NN'), 38925), (('drug', 'NN'), 35904), (('protein', 'NN'), 31610), (('adult', 'NN'), 25148), (('analysis', 'NN'), 24978), (('clinical', 'JJ'), 24469), (('female', 'JJ'), 23979), (('disease', 'NN'), 23191), (('humans', 'NNS'), 20459), (('priority', 'NN'), 17870), (('gene', 'NN'), 17764), (('journal', 'NN'), 17127), (('male', 'JJ'), 16703), (('controlled', 'VBD'), 15917), (('male', 'NN'), 15112), (('blood', 'NN'), 13693), (('aged', 'VBN'), 13588), (('aged', 'VBD'), 13215), (('animal', 'JJ'), 12836), (('cancer', 'NN'), 12774), (('factor', 'NN'), 11391), (('heart', 'NN'), 11240), (('acid', 'NN'), 10820), (('tumor', 'NN'), 10446), (('molecular', 'JJ'), 10253), (('receptor', 'NN'), 10238), (('nonhuman', 'JJ'), 9953)]
60017697;[('human', 29141), ('study', 22786), ('article', 17787), ('cell', 17374), ('age', 17224), ('female', 14719), ('male', 14523), ('drug', 13214), ('adult', 12135), ('disease', 11900), ('protein', 11536), ('clinic', 11303), ('analysis', 10609), ('control', 10063), ('animal', 7344), ('middle', 6893), ('factor', 6777), ('blood', 6454), ('priority', 6401), ('journal', 6396), ('system', 6254), ('cancer', 6112), ('agent', 5793), ('acid', 5727), ('italy', 5459), ('model', 5386), ('gene', 5277), ('tumor', 4560), ('liver', 4545), ('major', 4483)];[(('human', 'JJ'), 18592), (('article', 'NN'), 17787), (('study', 'NN'), 17368), (('cell', 'NN'), 13572), (('drug', 'NN'), 13181), (('adult', 'NN'), 11764), (('clinical', 'JJ'), 11286), (('female', 'JJ'), 10874), (('analysis', 'NN'), 10373), (('disease', 'NN'), 9915), (('humans', 'NNS'), 8764), (('protein', 'NN'), 7933), (('male', 'JJ'), 7436), (('aged', 'VBN'), 7365), (('aged', 'VBD'), 7158), (('male', 'NN'), 6730), (('priority', 'NN'), 6320), (('journal', 'NN'), 6058), (('controlled', 'VBD'), 5992), (('blood', 'NN'), 5956), (('cancer', 'NN'), 5938), (('gene', 'NN'), 5085), (('major', 'JJ'), 4483), (('factor', 'NN'), 4358), (('tumor', 'NN'), 4189), (('treatment', 'NN'), 4049), (('system', 'NN'), 3897), (('studies', 'NNS'), 3774), (('risk', 'NN'), 3630), (('acid', 'NN'), 3575)]
60018048;[('human', 3310), ('male', 1725), ('adult', 1684), ('study', 1594), ('article', 1366), ('female', 1340), ('cell', 1269), ('muscle', 1258), ('age', 1168), ('control', 966), ('protein', 921), ('exercise', 881), ('performance', 617), ('analysis', 615), ('physiology', 567), ('clinic', 561), ('body', 555), ('physical', 546), ('factor', 520), ('middle', 464), ('blood', 447), ('young', 428), ('child', 421), ('disease', 419), ('experiment', 409), ('adolescent', 408), ('priority', 388), ('journal', 388), ('test', 375), ('heart', 364)];[(('human', 'JJ'), 2104), (('adult', 'NN'), 1626), (('article', 'NN'), 1366), (('study', 'NN'), 1227), (('humans', 'NNS'), 1096), (('muscle', 'NN'), 1094), (('cell', 'NN'), 1056), (('female', 'JJ'), 1010), (('male', 'JJ'), 985), (('exercise', 'NN'), 808), (('male', 'NN'), 711), (('protein', 'NN'), 632), (('controlled', 'VBD'), 621), (('performance', 'NN'), 616), (('analysis', 'NN'), 598), (('clinical', 'JJ'), 560), (('physical', 'JJ'), 546), (('body', 'NN'), 509), (('physiology', 'NN'), 496), (('aged', 'VBN'), 486), (('young', 'JJ'), 428), (('blood', 'NN'), 410), (('aged', 'VBD'), 409), (('priority', 'NN'), 374), (('experiment', 'NN'), 369), (('journal', 'NN'), 353), (('health', 'NN'), 344), (('disease', 'NN'), 342), (('factor', 'NN'), 340), (('time', 'NN'), 333)]
60018363;[('human', 19620), ('study', 14285), ('cell', 13580), ('article', 12272), ('protein', 10606), ('drug', 9147), ('age', 9001), ('female', 8485), ('male', 8304), ('analysis', 6928), ('disease', 6775), ('adult', 6543), ('animal', 6477), ('control', 6221), ('clinic', 5994), ('gene', 4595), ('journal', 4554), ('priority', 4552), ('model', 4550), ('acid', 4429), ('structure', 4220), ('system', 4047), ('molecule', 4002), ('factor', 3971), ('heart', 3935), ('agent', 3690), ('middle', 3438), ('tumor', 3115), ('image', 3015), ('cancer', 3003)];[(('human', 'JJ'), 12444), (('article', 'NN'), 12272), (('study', 'NN'), 10985), (('cell', 'NN'), 10429), (('drug', 'NN'), 9109), (('protein', 'NN'), 6883), (('analysis', 'NN'), 6762), (('female', 'JJ'), 6322), (('adult', 'NN'), 6297), (('clinical', 'JJ'), 5980), (('humans', 'NNS'), 5820), (('disease', 'NN'), 5458), (('priority', 'NN'), 4475), (('gene', 'NN'), 4434), (('male', 'JJ'), 4367), (('journal', 'NN'), 4293), (('controlled', 'VBD'), 3845), (('male', 'NN'), 3786), (('aged', 'VBD'), 3691), (('aged', 'VBN'), 3681), (('heart', 'NN'), 3414), (('molecular', 'JJ'), 3349), (('structure', 'NN'), 3157), (('animal', 'JJ'), 2994), (('cancer', 'NN'), 2888), (('tumor', 'NN'), 2821), (('blood', 'NN'), 2702), (('factor', 'NN'), 2609), (('acid', 'NN'), 2574), (('genetic', 'JJ'), 2544)]
60018783;[('human', 14920), ('study', 10915), ('cell', 10589), ('article', 9427), ('male', 7704), ('age', 7660), ('female', 7385), ('protein', 7207), ('adult', 6594), ('control', 5808), ('drug', 5578), ('analysis', 5534), ('clinic', 5418), ('disease', 5166), ('model', 4198), ('animal', 4140), ('system', 4137), ('journal', 3849), ('priority', 3847), ('factor', 3703), ('cancer', 3284), ('middle', 3184), ('acid', 2793), ('agent', 2762), ('receptor', 2486), ('tumor', 2389), ('gene', 2382), ('blood', 2297), ('structure', 2248), ('italy', 2211)];[(('article', 'NN'), 9425), (('human', 'JJ'), 9227), (('cell', 'NN'), 8449), (('study', 'NN'), 8276), (('adult', 'NN'), 6400), (('drug', 'NN'), 5566), (('female', 'JJ'), 5464), (('analysis', 'NN'), 5410), (('clinical', 'JJ'), 5401), (('protein', 'NN'), 4795), (('humans', 'NNS'), 4612), (('disease', 'NN'), 4318), (('male', 'JJ'), 4098), (('priority', 'NN'), 3792), (('journal', 'NN'), 3656), (('male', 'NN'), 3488), (('aged', 'VBN'), 3269), (('cancer', 'NN'), 3210), (('controlled', 'VBD'), 3203), (('aged', 'VBD'), 3186), (('factor', 'NN'), 2562), (('systems', 'NNS'), 2394), (('gene', 'NN'), 2272), (('tumor', 'NN'), 2236), (('blood', 'NN'), 2132), (('treatment', 'NN'), 2111), (('receptor', 'NN'), 2029), (('time', 'NN'), 1872), (('animal', 'JJ'), 1857), (('major', 'JJ'), 1857)]
60019089;[('animal', 3393), ('cell', 2374), ('article', 1520), ('protein', 1453), ('disease', 1376), ('study', 1352), ('analysis', 1074), ('acid', 1064), ('human', 1047), ('female', 1033), ('male', 1009), ('nonhuman', 999), ('control', 910), ('drug', 882), ('gene', 784), ('dna', 732), ('receptor', 720), ('virus', 623), ('food', 609), ('dog', 595), ('sequence', 565), ('tissue', 548), ('italy', 545), ('infection', 522), ('reaction', 514), ('model', 467), ('expression', 466), ('enzyme', 458), ('experiment', 454), ('priority', 440)];[(('cell', 'NN'), 1873), (('article', 'NN'), 1520), (('animal', 'JJ'), 1473), (('study', 'NN'), 1121), (('animals', 'NNS'), 1073), (('analysis', 'NN'), 999), (('protein', 'NN'), 975), (('nonhuman', 'JJ'), 911), (('drug', 'NN'), 866), (('female', 'JJ'), 864), (('disease', 'NN'), 837), (('animal', 'NN'), 805), (('gene', 'NN'), 749), (('controlled', 'VBD'), 645), (('dna', 'NN'), 610), (('receptor', 'NN'), 606), (('food', 'NN'), 596), (('human', 'JJ'), 590), (('tissue', 'NN'), 540), (('male', 'JJ'), 529), (('acid', 'NN'), 522), (('sequence', 'NN'), 508), (('reaction', 'NN'), 485), (('male', 'NN'), 473), (('expression', 'NN'), 463), (('virus', 'NN'), 439), (('priority', 'NN'), 437), (('journal', 'NN'), 423), (('chain', 'NN'), 408), (('metabolism', 'NN'), 404)]
60020167;[('analysis', 1351), ('human', 1214), ('cell', 1210), ('system', 1163), ('article', 1015), ('model', 889), ('control', 834), ('soil', 806), ('study', 785), ('animal', 748), ('acid', 716), ('method', 688), ('network', 663), ('water', 655), ('protein', 617), ('plant', 612), ('wave', 592), ('drug', 552), ('male', 549), ('italy', 533), ('energy', 520), ('priority', 519), ('journal', 516), ('environment', 506), ('structure', 484), ('female', 473), ('age', 443), ('disease', 415), ('gene', 395), ('carbon', 391)];[(('analysis', 'NN'), 1322), (('article', 'NN'), 1015), (('human', 'JJ'), 881), (('systems', 'NNS'), 869), (('cell', 'NN'), 829), (('soil', 'NN'), 606), (('study', 'NN'), 595), (('drug', 'NN'), 552), (('water', 'NN'), 543), (('plant', 'NN'), 505), (('priority', 'NN'), 503), (('energy', 'NN'), 501), (('journal', 'NN'), 476), (('acid', 'NN'), 399), (('control', 'NN'), 395), (('gene', 'NN'), 369), (('female', 'JJ'), 360), (('environmental', 'JJ'), 357), (('models', 'NNS'), 357), (('management', 'NN'), 351), (('networks', 'NNS'), 343), (('model', 'NN'), 337), (('carbon', 'NN'), 337), (('animal', 'JJ'), 330), (('adult', 'NN'), 329), (('methods', 'NNS'), 326), (('method', 'NN'), 319), (('nonhuman', 'JJ'), 315), (('protein', 'NN'), 310), (('controlled', 'VBD'), 307)]
60020261;[('cell', 7624), ('protein', 6298), ('human', 5155), ('drug', 4422), ('analysis', 4380), ('article', 4014), ('model', 3837), ('system', 3510), ('membrane', 3429), ('study', 3426), ('acid', 3260), ('animal', 3038), ('control', 2991), ('structure', 2870), ('water', 2469), ('molecule', 2231), ('chemical', 2212), ('energy', 2166), ('receptor', 2146), ('method', 2125), ('gene', 1870), ('electron', 1782), ('derivative', 1779), ('compound', 1744), ('agent', 1727), ('priority', 1722), ('journal', 1720), ('activity', 1636), ('process', 1628), ('male', 1626)];[(('cell', 'NN'), 5534), (('drug', 'NN'), 4388), (('analysis', 'NN'), 4243), (('protein', 'NN'), 4088), (('article', 'NN'), 4012), (('human', 'JJ'), 3146), (('study', 'NN'), 2681), (('systems', 'NNS'), 2412), (('water', 'NN'), 2139), (('energy', 'NN'), 2029), (('molecular', 'JJ'), 1866), (('gene', 'NN'), 1791), (('structure', 'NN'), 1742), (('membrane', 'NN'), 1739), (('acid', 'NN'), 1735), (('receptor', 'NN'), 1720), (('priority', 'NN'), 1674), (('derivative', 'JJ'), 1638), (('journal', 'NN'), 1609), (('model', 'NN'), 1588), (('models', 'NNS'), 1496), (('controlled', 'VBD'), 1444), (('humans', 'NNS'), 1443), (('activity', 'NN'), 1430), (('chemical', 'NN'), 1423), (('animal', 'JJ'), 1357), (('magnetic', 'JJ'), 1333), (('membranes', 'NNS'), 1327), (('computer', 'NN'), 1294), (('data', 'NNS'), 1292)]
60020919;[('analysis', 2622), ('protein', 2036), ('article', 1903), ('cell', 1851), ('acid', 1463), ('model', 1454), ('drug', 1394), ('structure', 1393), ('water', 1351), ('human', 1254), ('animal', 1223), ('italy', 1168), ('study', 1103), ('soil', 1087), ('control', 1026), ('method', 997), ('plant', 946), ('derivative', 946), ('chemical', 913), ('system', 903), ('energy', 878), ('molecule', 874), ('compound', 809), ('mass', 796), ('spectroscopy', 768), ('sequence', 752), ('environment', 715), ('reaction', 673), ('gene', 642), ('resonance', 631)];[(('analysis', 'NN'), 2560), (('article', 'NN'), 1903), (('drug', 'NN'), 1389), (('cell', 'NN'), 1361), (('protein', 'NN'), 1257), (('water', 'NN'), 1176), (('structure', 'NN'), 942), (('study', 'NN'), 905), (('derivative', 'JJ'), 903), (('soil', 'NN'), 846), (('acid', 'NN'), 835), (('plant', 'NN'), 806), (('molecular', 'JJ'), 782), (('energy', 'NN'), 755), (('human', 'JJ'), 749), (('italy', 'NN'), 725), (('mass', 'NN'), 711), (('sequence', 'NN'), 706), (('chemical', 'NN'), 638), (('resonance', 'NN'), 608), (('model', 'NN'), 600), (('data', 'NNS'), 594), (('gene', 'NN'), 592), (('magnetic', 'JJ'), 565), (('spectroscopy', 'NN'), 565), (('reaction', 'NN'), 560), (('priority', 'NN'), 558), (('chemistry', 'NN'), 550), (('journal', 'NN'), 548), (('activity', 'NN'), 543)]
60021859;[('human', 55191), ('study', 41919), ('article', 33399), ('cell', 32924), ('age', 29980), ('drug', 28819), ('protein', 28045), ('male', 26655), ('female', 24911), ('disease', 20674), ('adult', 20509), ('clinic', 19018), ('analysis', 18872), ('control', 18285), ('animal', 17443), ('journal', 14284), ('priority', 14270), ('acid', 13751), ('factor', 11430), ('middle', 11219), ('system', 11141), ('model', 11030), ('agent', 10828), ('structure', 10819), ('gene', 10571), ('receptor', 9945), ('cancer', 9192), ('molecule', 8978), ('italy', 8945), ('blood', 8900)];[(('human', 'JJ'), 34343), (('article', 'NN'), 33399), (('study', 'NN'), 31493), (('drug', 'NN'), 28733), (('cell', 'NN'), 25693), (('adult', 'NN'), 19842), (('clinical', 'JJ'), 18981), (('female', 'JJ'), 18454), (('analysis', 'NN'), 18379), (('protein', 'NN'), 18135), (('disease', 'NN'), 17290), (('humans', 'NNS'), 17270), (('male', 'JJ'), 14347), (('priority', 'NN'), 14057), (('journal', 'NN'), 13439), (('aged', 'VBN'), 12247), (('aged', 'VBD'), 12144), (('male', 'NN'), 11779), (('controlled', 'VBD'), 11097), (('gene', 'NN'), 10132), (('cancer', 'NN'), 8905), (('structure', 'NN'), 8764), (('acid', 'NN'), 8558), (('blood', 'NN'), 8237), (('animal', 'JJ'), 8052), (('receptor', 'NN'), 7933), (('derivative', 'JJ'), 7918), (('molecular', 'JJ'), 7821), (('heart', 'NN'), 7461), (('major', 'JJ'), 7459)]
60022778;[('human', 36052), ('study', 27791), ('article', 23198), ('cell', 20947), ('age', 18652), ('protein', 18338), ('female', 18086), ('male', 17752), ('disease', 16666), ('drug', 16528), ('animal', 14945), ('adult', 14846), ('clinic', 13041), ('control', 11868), ('analysis', 11581), ('gene', 9638), ('acid', 9565), ('priority', 8632), ('journal', 8629), ('middle', 7592), ('factor', 7397), ('virus', 7280), ('agent', 6971), ('sequence', 6921), ('blood', 6791), ('italy', 6753), ('nonhuman', 5769), ('receptor', 5668), ('cancer', 5443), ('child', 5354)];[(('article', 'NN'), 23198), (('human', 'JJ'), 22837), (('study', 'NN'), 21454), (('drug', 'NN'), 16466), (('cell', 'NN'), 16329), (('adult', 'NN'), 14374), (('female', 'JJ'), 13422), (('disease', 'NN'), 13201), (('clinical', 'JJ'), 13005), (('protein', 'NN'), 11882), (('analysis', 'NN'), 11299), (('humans', 'NNS'), 10968), (('gene', 'NN'), 9181), (('male', 'JJ'), 8819), (('priority', 'NN'), 8533), (('male', 'NN'), 8502), (('journal', 'NN'), 8188), (('controlled', 'VBD'), 7793), (('aged', 'VBN'), 7767), (('aged', 'VBD'), 7473), (('animal', 'JJ'), 6660), (('blood', 'NN'), 6272), (('sequence', 'NN'), 6180), (('acid', 'NN'), 5693), (('virus', 'NN'), 5401), (('cancer', 'NN'), 5285), (('nonhuman', 'JJ'), 5166), (('major', 'JJ'), 4942), (('factor', 'NN'), 4820), (('treatment', 'NN'), 4592)]
60022956;[('human', 10067), ('study', 8215), ('age', 6298), ('article', 5499), ('female', 5283), ('male', 5173), ('cell', 4963), ('adult', 4478), ('protein', 4413), ('disease', 4359), ('clinic', 3774), ('control', 3138), ('analysis', 2866), ('drug', 2784), ('middle', 2630), ('heart', 2457), ('factor', 2271), ('animal', 2091), ('gene', 2083), ('priority', 2033), ('journal', 2032), ('agent', 1893), ('acid', 1763), ('blood', 1712), ('italy', 1645), ('major', 1569), ('treatment', 1548), ('risk', 1509), ('cancer', 1501), ('outcome', 1424)];[(('study', 'NN'), 6235), (('human', 'JJ'), 6021), (('article', 'NN'), 5499), (('adult', 'NN'), 4309), (('cell', 'NN'), 3967), (('female', 'JJ'), 3845), (('clinical', 'JJ'), 3767), (('disease', 'NN'), 3676), (('humans', 'NNS'), 3494), (('protein', 'NN'), 3069), (('aged', 'VBN'), 2981), (('analysis', 'NN'), 2808), (('drug', 'NN'), 2771), (('male', 'JJ'), 2676), (('aged', 'VBD'), 2553), (('male', 'NN'), 2371), (('heart', 'NN'), 2166), (('gene', 'NN'), 2018), (('priority', 'NN'), 2013), (('controlled', 'VBD'), 1947), (('journal', 'NN'), 1935), (('major', 'JJ'), 1569), (('blood', 'NN'), 1543), (('treatment', 'NN'), 1529), (('factor', 'NN'), 1521), (('studies', 'NNS'), 1511), (('cancer', 'NN'), 1482), (('tumor', 'NN'), 1307), (('risk', 'NN'), 1306), (('female', 'NN'), 1297)]
60023256;[('model', 14815), ('analysis', 14568), ('system', 13486), ('control', 9385), ('human', 8252), ('method', 7901), ('structure', 6650), ('cell', 6620), ('article', 6584), ('energy', 6169), ('study', 6052), ('process', 5814), ('computer', 5704), ('image', 5172), ('network', 5017), ('dynamic', 5005), ('material', 4969), ('simulation', 4878), ('flow', 4480), ('design', 4476), ('test', 4250), ('water', 4238), ('time', 3892), ('spectroscopy', 3765), ('electric', 3650), ('algorithm', 3581), ('power', 3549), ('optics', 3483), ('experiment', 3476), ('data', 3460)];[(('analysis', 'NN'), 14247), (('systems', 'NNS'), 9442), (('article', 'NN'), 6582), (('control', 'NN'), 6317), (('models', 'NNS'), 6282), (('energy', 'NN'), 5928), (('computer', 'NN'), 5505), (('model', 'NN'), 5199), (('human', 'JJ'), 5060), (('study', 'NN'), 4597), (('materials', 'NNS'), 4161), (('simulation', 'NN'), 4132), (('system', 'NN'), 4041), (('cell', 'NN'), 3966), (('design', 'NN'), 3963), (('methods', 'NNS'), 3877), (('electric', 'JJ'), 3623), (('water', 'NN'), 3611), (('time', 'NN'), 3549), (('method', 'NN'), 3543), (('power', 'NN'), 3531), (('optical', 'JJ'), 3479), (('numerical', 'JJ'), 3283), (('dynamics', 'NNS'), 3268), (('data', 'NNS'), 3234), (('mathematical', 'JJ'), 3042), (('performance', 'NN'), 2948), (('networks', 'NNS'), 2887), (('humans', 'NNS'), 2794), (('mechanical', 'JJ'), 2752)]
60024316;[('policy', 326), ('human', 302), ('europe', 261), ('analysis', 238), ('energy', 196), ('social', 196), ('market', 195), ('age', 186), ('system', 185), ('economy', 176), ('model', 173), ('study', 164), ('political', 160), ('european', 155), ('health', 151), ('adult', 147), ('trade', 146), ('female', 136), ('union', 127), ('male', 112), ('international', 110), ('article', 110), ('environment', 107), ('network', 106), ('investment', 104), ('control', 104), ('unite', 103), ('status', 101), ('behavior', 96), ('approach', 93)];[(('policy', 'NN'), 318), (('analysis', 'NN'), 236), (('europe', 'NN'), 230), (('human', 'JJ'), 206), (('social', 'JJ'), 196), (('energy', 'NN'), 183), (('political', 'JJ'), 160), (('health', 'NN'), 151), (('european', 'JJ'), 150), (('market', 'NN'), 147), (('study', 'NN'), 141), (('adult', 'NN'), 140), (('economic', 'JJ'), 129), (('union', 'NN'), 126), (('trade', 'NN'), 122), (('system', 'NN'), 117), (('international', 'JJ'), 110), (('article', 'NN'), 109), (('female', 'JJ'), 109), (('status', 'NN'), 101), (('environmental', 'JJ'), 97), (('politics', 'NNS'), 89), (('development', 'NN'), 87), (('approach', 'NN'), 83), (('humans', 'NNS'), 82), (('electricity', 'NN'), 81), (('power', 'NN'), 81), (('migration', 'NN'), 78), (('united', 'JJ'), 76), (('framework', 'NN'), 75)]
60024353;[('cell', 5030), ('protein', 4119), ('analysis', 3292), ('human', 2924), ('article', 2444), ('study', 2106), ('model', 1977), ('animal', 1893), ('control', 1875), ('system', 1864), ('acid', 1675), ('structure', 1644), ('drug', 1516), ('electron', 1481), ('laser', 1465), ('environment', 1446), ('energy', 1442), ('spectroscopy', 1398), ('microscopy', 1397), ('water', 1346), ('material', 1337), ('compound', 1321), ('method', 1285), ('property', 1283), ('gene', 1266), ('chemical', 1170), ('italy', 1159), ('effect', 1099), ('process', 1098), ('surface', 1095)];[(('cell', 'NN'), 3443), (('analysis', 'NN'), 3213), (('protein', 'NN'), 2537), (('article', 'NN'), 2443), (('human', 'JJ'), 1769), (('study', 'NN'), 1688), (('drug', 'NN'), 1506), (('energy', 'NN'), 1339), (('systems', 'NNS'), 1258), (('gene', 'NN'), 1204), (('microscopy', 'NN'), 1181), (('materials', 'NNS'), 1166), (('water', 'NN'), 1164), (('properties', 'NNS'), 1023), (('electron', 'NN'), 1018), (('sea', 'NN'), 1003), (('environmental', 'JJ'), 996), (('spectroscopy', 'NN'), 948), (('cells', 'NNS'), 912), (('controlled', 'VBD'), 879), (('structure', 'NN'), 869), (('priority', 'NN'), 861), (('acid', 'NN'), 851), (('humans', 'NNS'), 842), (('journal', 'NN'), 840), (('molecular', 'JJ'), 828), (('compounds', 'NNS'), 822), (('optical', 'JJ'), 817), (('models', 'NNS'), 807), (('time', 'NN'), 785)]
